key;ID;speciesStrain;speciesStrainComp;genus;genusComp;species;speciesComp;strain;cultureNo;typeStrain;misclassified;gram;oxygen;substrate;genomeAccNo;usedAccNo;ncbiFTP_FAA
41;156474;Achromobacter mucicolens CCUG 61962;achromobactermucicolensccug61962;Achromobacter;achromobacter;Achromobacter mucicolens;achromobactermucicolens;CCUG 61962;CCUG 61962|LMG 26686;no;;;aerobic;adipate|arginine|decanoate|D-glucose|D-mannitol|D-mannose|esculin|gelatin|gluconate|L-arabinose|malate|maltose|N-acetylglucosamine|nitrate|tryptophan|urea;GCA_902860105|1389922.6;GCA_902860105;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/860/105/GCA_902860105.1_LMG_26686/GCA_902860105.1_LMG_26686_protein.faa.gz
42;130143;Achromobacter mucicolens DSM 29602;achromobactermucicolensdsm29602;Achromobacter;achromobacter;Achromobacter mucicolens;achromobactermucicolens;DSM 29602;DSM 29602|LMG 26685|CCUG 61961;yes;;;aerobic;adipate|arginine|D-glucose|D-mannitol|D-mannose|esculin|gelatin|gluconate|L-arabinose|malate|maltose|N-acetylglucosamine|nitrate|tryptophan|urea;GCA_902859725|GCA_019968625|1389922.4|2791355108|GCA_003053425|1389922.9|1389922.3;GCA_902859725;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/859/725/GCA_902859725.1_LMG_26685/GCA_902859725.1_LMG_26685_protein.faa.gz
43;140508;Achromobacter pestifer;achromobacterpestifer;Achromobacter;achromobacter;Achromobacter pestifer;achromobacterpestifer;;LMG 3431|CCUG 61959|ATCC 15445;yes;;;aerobic;(R)-lactate|acetamide|adipate|citrate|decanoate|D-gluconate|D-glucose|D-mannitol|D-mannose|esculin|gelatin|glucose|L-arabinose|L-arginine|L-malate|N-acetylglucosamine|nitrate|nitrite|norleucine|phenylacetate|sucrose|trehalose|tween 80;GCA_013267355|GCA_902859625|2921347846|1353889.3;GCA_013267355;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/267/355/GCA_013267355.1_ASM1326735v1/GCA_013267355.1_ASM1326735v1_protein.faa.gz
44;156467;Achromobacter piechaudii CCUG 61953;achromobacterpiechaudiiccug61953;Achromobacter;achromobacter;Achromobacter piechaudii;achromobacterpiechaudii;CCUG 61953;CCUG 61953|LMG 6103;no;;;aerobic;adipate|arginine|decanoate|D-glucose|D-mannitol|D-mannose|esculin|gelatin|gluconate|L-arabinose|malate|maltose|N-acetylglucosamine|nitrate|tryptophan|urea;GCA_902860185|72556.2;GCA_902860185;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/860/185/GCA_902860185.1_LMG_6103/GCA_902860185.1_LMG_6103_protein.faa.gz
45;156481;Achromobacter pulmonis CCUG 61971;achromobacterpulmonisccug61971;Achromobacter;achromobacter;Achromobacter pulmonis;achromobacterpulmonis;CCUG 61971;CCUG 61971|LMG 26788;no;;;aerobic;adipate|arginine|decanoate|D-glucose|D-mannitol|D-mannose|esculin|gelatin|gluconate|L-arabinose|malate|maltose|N-acetylglucosamine|nitrate|tryptophan|urea;GCA_902860065|1389932.5;GCA_902860065;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/860/065/GCA_902860065.1_LMG_26788/GCA_902860065.1_LMG_26788_protein.faa.gz
46;130144;Achromobacter pulmonis DSM 29617;achromobacterpulmonisdsm29617;Achromobacter;achromobacter;Achromobacter pulmonis;achromobacterpulmonis;DSM 29617;DSM 29617|CCUG 61972|LMG 26696;yes;;;aerobic;adipate|arginine|D-glucose|D-mannitol|D-mannose|esculin|gelatin|gluconate|L-arabinose|malate|maltose|N-acetylglucosamine|nitrate|tryptophan|urea;GCA_002885955|GCA_902859765|1389932.3|1389932.4|2791355109;GCA_002885955;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/885/955/GCA_002885955.2_ASM288595v2/GCA_002885955.2_ASM288595v2_protein.faa.gz
47;156469;Achromobacter ruhlandii CCUG 61955;achromobacterruhlandiiccug61955;Achromobacter;achromobacter;Achromobacter ruhlandii;achromobacterruhlandii;CCUG 61955;CCUG 61955|LMG 3328|CIP 21.75;no;;;aerobic;adipate|arginine|decanoate|D-glucose|D-mannitol|D-mannose|esculin|gelatin|gluconate|L-arabinose|malate|maltose|N-acetylglucosamine|nitrate|tryptophan|urea;GCA_902860085|72557.65;GCA_902860085;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/860/085/GCA_902860085.1_LMG_3328/GCA_902860085.1_LMG_3328_protein.faa.gz
48;323;Achromobacter spanius DSM 23806;achromobacterspaniusdsm23806;Achromobacter;achromobacter;Achromobacter spanius;achromobacterspanius;DSM 23806;CIP 108199|DSM 23806|CCUG 47062|LMG 5911|API 198-2-84;yes;;;aerobic;(R)-mandelate|(S)-mandelic acid|2-dehydro-D-gluconate|3-aminobutyrate|3-hydroxybenzoate|3-hydroxybutyrate|4-hydroxybenzoate|4-oxopentanoate|5-aminovaleric acid|5-dehydro-D-gluconate|acetamide|acetate|aconitate|adipate|amygdalin|arbutin|azelaate|benzoate|benzylamine|beta-alanine|betaine|butan-1-amine|butyrate|cellobiose|citrate|creatine|D-alanine|D-arabinose|D-arabitol|decanoate|D-fructose|D-fucose|D-glucose|D-lyxose|D-mannose|D-tagatose|D-xylose|erythritol|esculin|ethanolamine|ethylamine|fructose|fumarate|galactitol|galactose|gamma-aminobutyric acid|gentiobiose|gluconate|glucosamine|glucose|glutaric acid|glycerate|glycerol|glycine|glycogen|glycolate|heptanoate|histamine|inulin|isobutyrate|isophthalate|itaconate|kynurenine|lactate|lactose|L-alanine|L-arabinose|L-arabitol|L-arginine|L-aspartate|L-citrulline|L-fucose|L-glutamate|L-histidine|L-isoleucine|L-leucine|L-lysine|L-methionine|L-ornithine|L-phenylalanine|L-proline|L-rhamnose|L-serine|L-sorbose|L-threonine|L-tryptophan|L-tyrosine|L-xylose|malate|malonate|maltose|mannitol|melezitose|melibiose|mesaconate|meso-tartrate|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|methyl beta-D-xylopyranoside|methylmalonic acid|myo-inositol|N-acetylglucosamine|nitrate|nitrite|nonanoate|octanoate|oxalate|pentan-1-amine|phenylacetate|phthalate|pimelate|propionate|putrescine|pyruvate|raffinose|ribitol|ribose|salicin|sarcosine|sebacic acid|sorbitol|spermine|starch|suberic acid|succinate|sucrose|terephthalate|trehalose|trigonelline|tryptamine|turanose|tween 80|urea|valerate|xylitol|xylose;GCA_003994415|GCA_900636675|GCA_002812705|GCA_002966795|GCA_902859605|GCA_002926155|GCA_001189595|217203.12|217203.3|217203.1|217203.13|217203.17|217203.16|2802429335|2654587547|2802429423|2844496579|217203.24;GCA_003994415;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/994/415/GCA_003994415.1_ASM399441v1/GCA_003994415.1_ASM399441v1_protein.faa.gz
49;98;Acidaminococcus fermentans VR4;acidaminococcusfermentansvr4;Acidaminococcus;acidaminococcus;Acidaminococcus fermentans;acidaminococcusfermentans;VR4;CCUG 9996|CIP 106432|DSM 20731|ATCC 25085;yes;;;anaerobic;arginine|D-mannose|L-glutamate|nitrate|raffinose|tryptophan|urea;GCA_009696675|GCA_900107075|GCA_020735645|GCA_000025305|GCA_900314805|GCA_900115425|GCA_002320055|905.87|905.3|905.8|2825604392|646311901|2593339211|2654588173|905.4|905.21|905.68|GCA_002481445|GCA_004555735|905.29|591001.3|GCA_019424755;GCA_009696675;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/696/675/GCA_009696675.1_ASM969667v1/GCA_009696675.1_ASM969667v1_protein.faa.gz
50;12915;Acidianus infernus So4a;acidianusinfernusso4a;Acidianus;acidianus;Acidianus infernus;acidianusinfernus;So4a;;;;negative;anaerobic;;GCA_009729545|WFIY00000000;GCA_009729545;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/729/545/GCA_009729545.1_ASM972954v1/GCA_009729545.1_ASM972954v1_protein.faa.gz
51;6149;Acidihalobacter aeolianus V6;acidihalobacteraeolianusv6;Acidihalobacter;acidihalobacter;Acidihalobacter aeolianus;acidihalobacteraeolianus;V6;DSM 14174|JCM 32253;yes;;;aerobic;tetrathionate;GCA_001753165|160660.18|CP017448|160660.9;GCA_001753165;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/753/165/GCA_001753165.1_ASM175316v1/GCA_001753165.1_ASM175316v1_protein.faa.gz
52;24820;Acidihalobacter ferrooxydans V8;acidihalobacterferrooxydansv8;Acidihalobacter;acidihalobacter;Acidihalobacter ferrooxydans;acidihalobacterferrooxydans;V8;DSM 14175|JCM 32254;yes;;;aerobic;tetrathionate;GCA_001975725|1765967.4|CP019434|2751185721;GCA_001975725;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/975/725/GCA_001975725.1_ASM197572v1/GCA_001975725.1_ASM197572v1_protein.faa.gz
53;132354;Acidipila dinghuensis DHOF10;acidipiladinghuensisdhof10;Acidipila;acidipila;Acidipila dinghuensis;acidipiladinghuensis;DHOF10;DSM 103429|CGMCC 1.13007|KCTC 42631;yes;;;aerobic;2-dehydro-D-gluconate|5-dehydro-D-gluconate|acetate|adipate|amygdalin|arbutin|arginine|aspartate|benzoate|casamino acids|cellobiose|citrate|D-arabinose|D-arabitol|decanoate|D-fructose|D-fucose|D-galactose|D-glucose|D-glucuronate|D-lyxose|D-mannitol|D-mannose|D-ribose|D-sorbitol|D-xylose|erythritol|esculin|ethanol|galactitol|gelatin|gentiobiose|gluconate|glucose|glycerol|glycogen|inulin|lactate|lactose|L-alanine|L-arabinose|L-arabitol|L-fucose|L-glutamate|L-histidine|L-rhamnose|L-serine|L-sorbose|L-xylose|malate|maltose|melezitose|melibiose|methanol|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|methyl beta-D-xylopyranoside|myo-inositol|N-acetylglucosamine|nitrate|ornithine|oxalate|phenylacetate|pyruvate|raffinose|ribitol|salicin|starch|succinate|sucrose|tartrate|trehalose|tryptone|tryptophan|turanose|urea|xylitol|yeast extract;GCA_004123295|GCA_014640355|1560006.5|1560006.3|2882000052;GCA_004123295;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/123/295/GCA_004123295.1_ASM412329v1/GCA_004123295.1_ASM412329v1_protein.faa.gz
54;12633;Acidipropionibacterium acidipropionici 14X;acidipropionibacteriumacidipropionici14x;Acidipropionibacterium;acidipropionibacterium;Acidipropionibacterium acidipropionici;acidipropionibacteriumacidipropionici;14X;DSM 4900|ATCC 25562|VPI 0399;yes;;;anaerobic;arginine|D-mannose|L-glutamate|nitrate|raffinose|tryptophan|urea;GCA_001975205|GCA_001441165|GCA_000427845|GCA_003956085|GCA_001855335|GCA_005890155|1748.17|1748.11|1748.15|1748.21|1748.14|1748.12|1748.19|1748.2|1111734.3;GCA_001975205;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/975/205/GCA_001975205.1_ASM197520v1/GCA_001975205.1_ASM197520v1_protein.faa.gz
55;12634;Acidipropionibacterium acidipropionici 4;acidipropionibacteriumacidipropionici4;Acidipropionibacterium;acidipropionibacterium;Acidipropionibacterium acidipropionici;acidipropionibacteriumacidipropionici;4;DSM 20272|ATCC 4875|NCDO 570|NCIB 8070|JCM 6432|IFO 12425|NBRC 12425|NCIMB 8070|VPI 10402;no;;;obligate anaerobic;arginine|D-mannose|L-glutamate|nitrate|raffinose|tryptophan|urea;2521172602|1171373.8|GCA_000310065|CP003493|2518285597;GCA_000310065;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/310/065/GCA_000310065.1_ASM31006v1/GCA_000310065.1_ASM31006v1_protein.faa.gz
56;12651;Acidipropionibacterium jensenii 29;acidipropionibacteriumjensenii29;Acidipropionibacterium;acidipropionibacterium;Acidipropionibacterium jensenii;acidipropionibacteriumjensenii;29;CCUG 48883|CIP 103028|NCIMB 8071|DSM 20535|ATCC 4868|NCDO 850|NCIB 8071;yes;;;anaerobic;arginine|D-mannose|L-glutamate|nitrate|raffinose|tryptophan|urea;GCA_900637925|GCA_005890135|GCA_004011055|1749.6|GCA_000425285|GCA_004011075|1749.5|2841058919|2518285598|2582581610|2836811818|1749.8|2523533551|2843625778|1122997.3|1749.12|1749.9|1749.1;GCA_900637925;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/637/925/GCA_900637925.1_52941_C01/GCA_900637925.1_52941_C01_protein.faa.gz
57;158421;Acidipropionibacterium virtanenii JS278;acidipropionibacteriumvirtaneniijs278;Acidipropionibacterium;acidipropionibacterium;Acidipropionibacterium virtanenii;acidipropionibacteriumvirtanenii;JS278;DSM 106790|VTT E-113202;yes;;;anaerobic;amygdalin|arbutin|cellobiose|D-arabinose|D-arabitol|D-fructose|D-fucose|D-galactose|D-glucose|D-lyxose|D-mannitol|D-mannose|D-ribose|D-sorbitol|D-tagatose|D-xylose|erythritol|esculin ferric citrate|galactitol|gentiobiose|glycerol|glycogen|inulin|lactose|L-arabinose|L-arabitol|L-fucose|L-rhamnose|L-sorbose|L-xylose|maltose|melezitose|melibiose|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|methyl beta-D-xylopyranoside|myo-inositol|N-acetylglucosamine|potassium 2-dehydro-D-gluconate|potassium 5-dehydro-D-gluconate|potassium gluconate|raffinose|ribitol|salicin|starch|sucrose|trehalose|turanose|xylitol;GCA_003325455|2057246.3|2834914592;GCA_003325455;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/325/455/GCA_003325455.1_ASM332545v1/GCA_003325455.1_ASM332545v1_protein.faa.gz
58;160797;Acidithiobacillus ferrianus MG;acidithiobacillusferrianusmg;Acidithiobacillus;acidithiobacillus;Acidithiobacillus ferrianus;acidithiobacillusferrianus;MG;DSM 107098|JCM 33084;yes;;;facultative;dihydrogen|elemental sulfur|ferric iron|tetrathionate;GCA_010378095|2678518.3|2895580592|WNJL00000000;GCA_010378095;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/378/095/GCA_010378095.1_ASM1037809v1/GCA_010378095.1_ASM1037809v1_protein.faa.gz
59;159192;Acidithiobacillus sulfuriphilus CJ-2;acidithiobacillussulfuriphiluscj2;Acidithiobacillus;acidithiobacillus;Acidithiobacillus sulfuriphilus;acidithiobacillussulfuriphilus;CJ-2;DSM 105150|KCTC 4683;yes;;;aerobic;dihydrogen|elemental sulfur|ferrous ion|maltose|pyrite|tetrathionate|thiosulfate;GCA_003721225|1867749.3|RIZI01000000|2840828123|RIZI00000000.1;GCA_003721225;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/721/225/GCA_003721225.1_ASM372122v1/GCA_003721225.1_ASM372122v1_protein.faa.gz
60;158808;Acidovorax kalamii KNDSW-TSA6;acidovoraxkalamiikndswtsa6;Acidovorax;acidovorax;Acidovorax kalamii;acidovoraxkalamii;KNDSW-TSA6;MTCC 12652|KCTC 52819|VTCC B-910010;yes;;;aerobic;(S)-lactate|1 % sodium lactate|2-hydroxybutyrate|2-oxobutanoate|2-oxoglutarate|3-hydroxybutyrate|acetate|acetoacetate|alpha-D-glucose|arabinose|aztreonam|bromosuccinate|casein|cellobiose|citrate|D-arabitol|D-aspartate|dextrin|D-fructose|D-fructose 6-phosphate|D-fucose|D-gluconate|D-glucose 6-phosphate|D-glucuronate|D-malate|D-saccharate|D-serine|D-sorbitol|formate|fructose|fusidate|galactarate|galactitol|galactose|gamma-aminobutyric acid|gelatin|gentiobiose|glucose|glycerol|guanidinium chloride|inulin|lactose|L-alanine|L-aspartate|L-fucose|L-galactonic acid gamma-lactone|L-glutamate|lincomycin|lithium chloride|L-malate|L-pyroglutamic acid|L-serine|maltose|mannitol|mannose|melibiose|methyl (R)-lactate|methyl beta-D-glucopyranoside|methyl pyruvate|minocycline|myo-inositol|N-acetyl-beta-D-mannosamine|N-acetylgalactosamine|N-acetylglucosamine|nalidixic acid|niaproof|nitrate|pectin|potassium tellurite|propionate|quinate|raffinose|rhamnose|ribitol|rifamycin sv|salicin|sodium bromate|sodium butyrate|stachyose|starch|sucrose|tetrazolium blue|trehalose|troleandomycin|turanose|tween 40|vancomycin|xylose;GCA_002245625|2004485.3|2839292028;GCA_002245625;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/245/625/GCA_002245625.1_ASM224562v1/GCA_002245625.1_ASM224562v1_protein.faa.gz
61;;Acidovorax soli BL21;acidovoraxsolibl21;Acidovorax;acidovorax;Acidovorax soli;acidovoraxsoli;BL21;;;;negative;anaerobic;alanine|asparagine|aspartate|formate|formicAcid|glucose|glutamate|glutamicAcid|lactate|methyl pyruvate|nitrate|pyruvicAcidMethylEster|serine|threonine|tween 40|tween 80|Tween40|Tween80;GCA_900107605|592050.4|592050.5|2675903230|GCA_014207955|2864937364|FNQJ00000000;GCA_900107605;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/107/605/GCA_900107605.1_IMG-taxon_2675903230_annotated_assembly/GCA_900107605.1_IMG-taxon_2675903230_annotated_assembly_protein.faa.gz
62;8126;Acinetobacter baylyi B2;acinetobacterbaylyib2;Acinetobacter;acinetobacter;Acinetobacter baylyi;acinetobacterbaylyi;B2;DSM 14961|CIP 107474|CCUG 50765|CCM 7195;yes;;;aerobic;adipate|arginine|decanoate|D-glucose|D-mannitol|D-mannose|esculin|gelatin|L-arabinose|malate|maltose|N-acetylglucosamine|nitrate|tryptophan|urea;GCA_000368685|GCA_900465415|GCA_000621045|202950.11|GCA_010577895|GCA_010577805|GCA_010577955|1120924.5|GCA_010577875|GCA_001485005|GCA_010577855|GCA_010577925|202950.7|202950.4|1120924.3;GCA_000368685;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/368/685/GCA_000368685.1_Acin_bayl_CIP_107474_V1/GCA_000368685.1_Acin_bayl_CIP_107474_V1_protein.faa.gz
63;8145;Acinetobacter bereziniae 69;acinetobacterbereziniae69;Acinetobacter;acinetobacter;Acinetobacter bereziniae;acinetobacterbereziniae;69;DSM 25435|ATCC 17924|CIP 70.12|LMG 1003|NIPH 521|CCUG 26493|ATCC 13702;yes;;;aerobic;2,3-butanediol|acetate|adipate|alanine|arginine|aspartate|citrate|decanoate|D-glucose|D-mannitol|D-mannose|esculin|ethanol|gelatin|gluconate|glutamate|lactate|L-arabinose|malate|maltose|N-acetylglucosamine|nitrate|tryptophan|urea;GCA_016502565|GCA_016576965|GCA_016576845|GCA_008997825|GCA_016502345|GCA_002813045|GCA_000368925|GCA_016508545|GCA_016613445|GCA_009000535|GCA_016502515|GCA_000753985|GCA_001500155|GCA_016502465|GCA_016502445|GCA_016103405|GCA_009013635|GCA_016502275|GCA_008977645|GCA_016093205|GCA_017592385|GCA_016508365|GCA_016508445|GCA_009013675|GCA_016508395|GCA_008991785|GCA_008996455;GCA_016502565;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/502/565/GCA_016502565.1_ASM1650256v1/GCA_016502565.1_ASM1650256v1_protein.faa.gz
64;130455;Acinetobacter bohemicus DSM 100419;acinetobacterbohemicusdsm100419;Acinetobacter;acinetobacter;Acinetobacter bohemicus;acinetobacterbohemicus;DSM 100419;DSM 100419|JCM 18977|KCTC 42081|LMG 28467|NCCP 644|CCUG 69707;no;;;aerobic;adipate|arginine|decanoate|D-glucose|D-mannitol|D-mannose|esculin|gelatin|gluconate|L-arabinose|malate|maltose|N-acetylglucosamine|nitrate|tryptophan|urea;GCA_008802275|1435036.7|FOZU00000000;GCA_008802275;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/802/275/GCA_008802275.1_ASM880227v1/GCA_008802275.1_ASM880227v1_protein.faa.gz
65;8131;Acinetobacter bouvetii 4BO2;acinetobacterbouvetii4bo2;Acinetobacter;acinetobacter;Acinetobacter bouvetii;acinetobacterbouvetii;4BO2;CCUG 50766|DSM 14964|CIP 107468|JCM 18991|CCM 7196|GTC 3697|KCTC 12414|NBRC 112580;yes;;;aerobic;adipate|arginine|decanoate|D-glucose|D-mannitol|D-mannose|esculin|gelatin|gluconate|L-arabinose|malate|maltose|N-acetylglucosamine|nitrate|tryptophan|urea;GCA_018324105|GCA_000368865|GCA_000373725|GCA_001485025|2660238193|202951.7|2517093005|1120925.4|1120925.3|202951.4|202951.5|202951.3|GCA_004209145|GCA_902753875|AREL00000000|APQD00000000|2565956682;GCA_018324105;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/324/105/GCA_018324105.1_ASM1832410v1/GCA_018324105.1_ASM1832410v1_protein.faa.gz
66;133295;Acinetobacter celticus;acinetobactercelticus;Acinetobacter;acinetobacter;Acinetobacter celticus;acinetobactercelticus;;ANC 4603|CCM 8700|CCUG 69239|CNCTC 7549;yes;;;aerobic;2,3-butanediol|4-hydroxybenzoate|4-oxopentanoate|acetate|adipate|ammonium|azelaate|beta-alanine|citraconate|citrate|D-gluconate|D-glucose|D-malate|D-ribose|ethanol|gamma-aminobutyric acid|gelatin|gentisate|glutaric acid|histamine|lactate|L-arabinose|L-arginine|L-aspartate|L-glutamate|L-histidine|L-leucine|L-ornithine|L-phenylalanine|L-tartrate|malonate|phenylacetate|putrescine|trans-aconitate|tricarballylate|trigonelline|trimethoxybenzoate|tryptamine;1873711.4|GCA_001707755|2767802243;GCA_001707755;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/707/755/GCA_001707755.1_ASM170775v1/GCA_001707755.1_ASM170775v1_protein.faa.gz
67;139534;Acinetobacter courvalinii CIP 110480;acinetobactercourvaliniicip110480;Acinetobacter;acinetobacter;Acinetobacter courvalinii;acinetobactercourvalinii;CIP 110480;CIP 110480|NIPH 3623|ANC 3623|CCUG 67960|CCM 8635;yes;;;aerobic;2,3-butanediol|4-hydroxybenzoate|4-oxopentanoate|adipate|azelaate|benzoate|beta-alanine|citraconate|citrate|D-gluconate|D-glucose|D-malate|D-ribose|ethanol|gamma-aminobutyric acid|gelatin|gentisate|glutaric acid|histamine|lactate|L-arabinose|L-arginine|L-aspartate|L-glutamate|L-histidine|L-leucine|L-ornithine|L-phenylalanine|L-tartrate|malonate|phenylacetate|putrescine|trans-aconitate|tricarballylate|trigonelline;GCA_008802255|GCA_014635545|GCA_016508605|GCA_016502305|GCA_000369785|280147.6|280147.5|280147.4|280147.3|1217698.3|2565956649;GCA_008802255;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/802/255/GCA_008802255.1_ASM880225v1/GCA_008802255.1_ASM880225v1_protein.faa.gz
68;140606;Acinetobacter defluvii WCHA30;acinetobacterdefluviiwcha30;Acinetobacter;acinetobacter;Acinetobacter defluvii;acinetobacterdefluvii;WCHA30;KCTC 52503|GDMCC 1.1101|CCTCC AB 2016203|DSM 107594;yes;;;obligate aerobic;2,3-butanediol|4-hydroxybenzoate|4-oxopentanoate|acetate|adipate|arginine|azelaate|benzoate|beta-alanine|citraconate|citrate|decanoate|D-gluconate|D-glucose|D-malate|D-mannitol|D-mannose|D-ribose|esculin|ethanol|gamma-aminobutyric acid|gelatin|gentisate|gluconate|glutarate|histamine|lactate|L-arabinose|L-arginine|L-aspartate|L-glutamate|L-histidine|L-leucine|L-ornithine|L-phenylalanine|L-tartrate|malate|malonate|maltose|N-acetylglucosamine|nitrate|phenylacetate|putrescine|trans-aconitate|tricarballylate|trigonelline|tryptamine|tryptophan|tween 40|urea;GCA_001704615|1871111.5|GCA_013072655|1871111.4|2767802242;GCA_001704615;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/704/615/GCA_001704615.3_ASM170461v3/GCA_001704615.3_ASM170461v3_protein.faa.gz
69;139491;Acinetobacter dispersus CIP 110481;acinetobacterdispersuscip110481;Acinetobacter;acinetobacter;Acinetobacter dispersus;acinetobacterdispersus;CIP 110481;CIP 110481|NIPH 1867|CCUG 34437;no;;;aerobic;adipate|arginine|decanoate|D-glucose|D-mannitol|D-mannose|esculin|gelatin|gluconate|L-arabinose|malate|maltose|N-acetylglucosamine|nitrate|tryptophan|urea;GCA_000369545|1217702.3|2565956659;GCA_000369545;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/369/545/GCA_000369545.1_Acin_sp_NIPH_1867_V1/GCA_000369545.1_Acin_sp_NIPH_1867_V1_protein.faa.gz
